,LOCALITA,DATA,TMEDIA °C,UMIDITA %,PRESSIONESLM mb,PRESSIONEMEDIA mb
4,Roma,5/6/2020,20.0,78.0,1002.0,0.0
5,Roma,6/6/2020,20.0,67.0,1008.0,0.0
6,Roma,7/6/2020,21.0,65.0,1010.0,0.0
7,Roma,8/6/2020,21.0,68.0,1008.0,0.0
8,Roma,9/6/2020,20.0,65.0,1011.0,0.0
9,Roma,10/6/2020,19.0,67.0,1012.0,0.0
10,Roma,11/6/2020,17.0,82.0,1012.0,0.0
11,Roma,12/6/2020,19.0,61.0,1014.0,0.0
12,Roma,13/6/2020,20.0,67.0,1014.0,0.0
13,Roma,14/6/2020,21.0,71.0,1013.0,0.0
14,Roma,15/6/2020,23.0,60.0,1013.0,0.0
15,Roma,16/6/2020,21.0,69.0,1012.0,0.0
16,Roma,17/6/2020,21.0,74.0,1012.0,0.0
17,Roma,18/6/2020,21.0,71.0,1015.0,0.0
18,Roma,19/6/2020,21.0,63.0,1016.0,0.0
19,Roma,20/6/2020,22.0,62.0,1015.0,0.0
20,Roma,21/6/2020,22.0,61.0,1013.0,0.0
21,Roma,22/6/2020,24.0,54.0,1014.0,0.0
22,Roma,23/6/2020,27.0,39.0,1016.0,0.0
23,Roma,24/6/2020,25.0,44.0,1018.0,0.0
24,Roma,25/6/2020,25.0,50.0,1018.0,0.0
25,Roma,26/6/2020,25.0,48.0,1017.0,0.0
26,Roma,27/6/2020,26.0,44.0,1016.0,0.0
27,Roma,28/6/2020,26.0,45.0,1015.0,0.0
28,Roma,29/6/2020,26.0,60.0,1014.0,0.0
29,Roma,30/6/2020,26.0,59.0,1014.0,0.0
0,Roma,1/7/2020,27.0,61.0,1013.0,0.0
1,Roma,2/7/2020,27.0,61.0,1011.0,0.0
2,Roma,3/7/2020,26.0,71.0,1011.0,0.0
3,Roma,4/7/2020,24.0,77.0,1013.0,0.0
4,Roma,5/7/2020,25.0,54.0,1013.0,0.0
5,Roma,6/7/2020,26.0,48.0,1009.0,0.0
6,Roma,7/7/2020,27.0,54.0,1009.0,0.0
7,Roma,8/7/2020,25.0,60.0,1015.0,0.0
8,Roma,9/7/2020,27.0,54.0,1016.0,0.0
9,Roma,10/7/2020,27.0,49.0,1015.0,0.0
10,Roma,11/7/2020,26.0,57.0,1015.0,0.0
11,Roma,12/7/2020,26.0,67.0,1015.0,0.0
12,Roma,13/7/2020,25.0,56.0,1015.0,0.0
13,Roma,14/7/2020,24.0,43.0,1012.0,0.0
14,Roma,15/7/2020,24.0,59.0,1014.0,0.0
15,Roma,16/7/2020,24.0,61.0,1014.0,0.0
16,Roma,17/7/2020,24.0,61.0,1012.0,0.0
17,Roma,18/7/2020,24.0,54.0,1012.0,0.0
18,Roma,19/7/2020,24.0,42.0,1014.0,0.0
19,Roma,20/7/2020,25.0,50.0,1017.0,0.0
20,Roma,21/7/2020,27.0,54.0,1019.0,0.0
21,Roma,22/7/2020,28.0,47.0,1017.0,0.0
22,Roma,23/7/2020,27.0,50.0,1013.0,0.0
23,Roma,24/7/2020,26.0,61.0,1011.0,0.0
24,Roma,25/7/2020,27.0,50.0,1011.0,0.0
25,Roma,26/7/2020,26.0,48.0,1015.0,0.0
26,Roma,27/7/2020,27.0,43.0,1017.0,0.0
27,Roma,28/7/2020,28.0,52.0,1016.0,0.0
28,Roma,29/7/2020,28.0,55.0,1016.0,0.0
29,Roma,30/7/2020,30.0,48.0,1017.0,0.0
30,Roma,31/7/2020,29.0,57.0,1016.0,0.0
0,Roma,1/8/2020,32.0,44.0,1012.0,0.0
1,Roma,2/8/2020,29.0,58.0,1010.0,0.0
2,Roma,3/8/2020,27.0,62.0,1008.0,0.0
3,Roma,4/8/2020,24.0,56.0,1006.0,0.0
4,Roma,5/8/2020,24.0,53.0,1009.0,0.0
5,Roma,6/8/2020,24.0,55.0,1012.0,0.0
6,Roma,7/8/2020,26.0,54.0,1014.0,0.0
7,Roma,8/8/2020,28.0,46.0,1014.0,0.0
8,Roma,9/8/2020,29.0,41.0,1014.0,0.0
9,Roma,10/8/2020,28.0,48.0,1014.0,0.0
10,Roma,11/8/2020,28.0,55.0,1015.0,0.0
11,Roma,12/8/2020,28.0,52.0,1016.0,0.0
12,Roma,13/8/2020,28.0,47.0,1016.0,0.0
13,Roma,14/8/2020,27.0,52.0,1013.0,0.0
14,Roma,15/8/2020,28.0,66.0,1012.0,0.0
15,Roma,16/8/2020,27.0,56.0,1012.0,0.0
16,Roma,17/8/2020,27.0,55.0,1012.0,0.0
17,Roma,18/8/2020,26.0,68.0,1011.0,0.0
18,Roma,19/8/2020,26.0,54.0,1011.0,0.0
19,Roma,20/8/2020,27.0,54.0,1013.0,0.0
20,Roma,21/8/2020,28.0,45.0,1016.0,0.0
21,Roma,22/8/2020,27.0,47.0,1016.0,0.0
22,Roma,23/8/2020,27.0,65.0,1013.0,0.0
23,Roma,24/8/2020,26.0,68.0,1011.0,0.0
24,Roma,25/8/2020,26.0,61.0,1013.0,0.0
25,Roma,26/8/2020,26.0,64.0,1016.0,0.0
26,Roma,27/8/2020,26.0,69.0,1014.0,0.0
27,Roma,28/8/2020,27.0,55.0,1010.0,0.0
28,Roma,29/8/2020,28.0,48.0,1006.0,0.0
29,Roma,30/8/2020,28.0,58.0,1009.0,0.0
30,Roma,31/8/2020,20.0,80.0,1014.0,0.0
0,Roma,1/9/2020,20.0,69.0,1012.0,0.0
1,Roma,2/9/2020,22.0,64.0,1014.0,0.0
2,Roma,3/9/2020,23.0,63.0,1019.0,0.0
3,Roma,4/9/2020,23.0,63.0,1023.0,0.0
4,Roma,5/9/2020,24.0,58.0,1019.0,0.0
5,Roma,6/9/2020,24.0,61.0,1015.0,0.0
6,Roma,7/9/2020,24.0,60.0,1015.0,0.0
7,Roma,8/9/2020,26.0,56.0,1020.0,0.0
8,Roma,9/9/2020,26.0,55.0,1022.0,0.0
9,Roma,10/9/2020,26.0,60.0,1016.0,0.0
10,Roma,11/9/2020,24.0,72.0,1012.0,0.0
11,Roma,12/9/2020,25.0,62.0,1015.0,0.0
12,Roma,13/9/2020,26.0,53.0,1019.0,0.0
13,Roma,14/9/2020,27.0,47.0,1021.0,0.0
14,Roma,15/9/2020,26.0,48.0,1019.0,0.0
15,Roma,16/9/2020,25.0,49.0,1016.0,0.0
16,Roma,17/9/2020,25.0,52.0,1013.0,0.0
17,Roma,18/9/2020,25.0,54.0,1015.0,0.0
18,Roma,19/9/2020,24.0,63.0,1017.0,0.0
19,Roma,20/9/2020,24.0,62.0,1016.0,0.0
20,Roma,21/9/2020,23.0,73.0,1015.0,0.0
21,Roma,22/9/2020,23.0,71.0,1015.0,0.0
22,Roma,23/9/2020,20.0,80.0,1013.0,0.0
23,Roma,24/9/2020,22.0,77.0,1013.0,0.0
24,Roma,25/9/2020,22.0,71.0,1003.0,0.0
25,Roma,26/9/2020,14.0,68.0,1000.0,0.0
26,Roma,27/9/2020,13.0,83.0,1002.0,0.0
27,Roma,28/9/2020,13.0,84.0,1009.0,0.0
28,Roma,29/9/2020,15.0,71.0,1017.0,0.0
29,Roma,30/9/2020,17.0,74.0,1015.0,0.0
0,Roma,1/10/2020,17.0,79.0,1011.0,0.0
1,Roma,2/10/2020,19.0,68.0,1006.0,0.0
2,Roma,3/10/2020,21.0,64.0,1003.0,0.0
3,Roma,4/10/2020,18.0,71.0,1010.0,0.0
4,Roma,5/10/2020,19.0,71.0,1012.0,0.0
5,Roma,6/10/2020,17.0,69.0,1017.0,0.0
6,Roma,7/10/2020,18.0,80.0,1013.0,0.0
7,Roma,8/10/2020,17.0,63.0,1019.0,0.0
8,Roma,9/10/2020,16.0,69.0,1022.0,0.0
9,Roma,10/10/2020,17.0,73.0,1019.0,0.0
10,Roma,11/10/2020,16.0,83.0,1013.0,0.0
11,Roma,12/10/2020,14.0,79.0,1006.0,0.0
12,Roma,13/10/2020,13.0,69.0,1009.0,0.0
13,Roma,14/10/2020,16.0,72.0,1009.0,0.0
14,Roma,15/10/2020,16.0,76.0,1007.0,0.0
15,Roma,16/10/2020,13.0,78.0,1012.0,0.0
16,Roma,17/10/2020,14.0,81.0,1015.0,0.0
17,Roma,18/10/2020,14.0,75.0,1019.0,0.0
18,Roma,19/10/2020,14.0,74.0,1023.0,0.0
19,Roma,20/10/2020,14.0,75.0,1024.0,0.0
20,Roma,21/10/2020,15.0,68.0,1024.0,0.0
21,Roma,22/10/2020,15.0,75.0,1024.0,0.0
22,Roma,23/10/2020,17.0,80.0,1022.0,0.0
23,Roma,24/10/2020,18.0,83.0,1018.0,0.0
24,Roma,25/10/2020,15.0,85.0,1017.0,0.0
25,Roma,26/10/2020,17.0,80.0,1012.0,0.0
26,Roma,27/10/2020,15.0,73.0,1011.0,0.0
27,Roma,28/10/2020,13.0,73.0,1016.0,0.0
28,Roma,29/10/2020,13.0,78.0,1020.0,0.0
29,Roma,30/10/2020,14.0,80.0,1023.0,0.0
30,Roma,31/10/2020,14.0,83.0,1024.0,0.0
0,Roma,1/11/2020,15.0,81.0,1023.0,0.0
1,Roma,2/11/2020,15.0,79.0,1024.0,0.0
2,Roma,3/11/2020,14.0,82.0,1023.0,0.0
3,Roma,4/11/2020,15.0,83.0,1022.0,0.0
4,Roma,5/11/2020,16.0,81.0,1025.0,0.0
5,Roma,6/11/2020,15.0,73.0,1027.0,0.0
6,Roma,7/11/2020,14.0,83.0,1028.0,0.0
7,Roma,8/11/2020,13.0,85.0,1026.0,0.0
8,Roma,9/11/2020,14.0,78.0,1023.0,0.0
9,Roma,10/11/2020,14.0,80.0,1023.0,0.0
10,Roma,11/11/2020,14.0,83.0,1024.0,0.0
11,Roma,12/11/2020,14.0,83.0,1024.0,0.0
12,Roma,13/11/2020,15.0,82.0,1024.0,0.0
13,Roma,14/11/2020,15.0,87.0,1023.0,0.0
14,Roma,15/11/2020,15.0,86.0,1021.0,0.0
15,Roma,16/11/2020,17.0,86.0,1017.0,0.0
16,Roma,17/11/2020,14.0,77.0,1018.0,0.0
17,Roma,18/11/2020,14.0,74.0,1026.0,0.0
18,Roma,19/11/2020,13.0,84.0,1023.0,0.0
19,Roma,20/11/2020,14.0,75.0,1012.0,0.0
20,Roma,21/11/2020,12.0,43.0,1019.0,0.0
21,Roma,22/11/2020,9.0,47.0,1025.0,0.0
22,Roma,23/11/2020,9.0,70.0,1025.0,0.0
23,Roma,24/11/2020,10.0,80.0,1022.0,0.0
24,Roma,25/11/2020,11.0,81.0,1022.0,0.0
25,Roma,26/11/2020,10.0,80.0,1023.0,0.0
26,Roma,27/11/2020,12.0,79.0,1020.0,0.0
27,Roma,28/11/2020,14.0,64.0,1013.0,0.0
28,Roma,29/11/2020,12.0,78.0,1010.0,0.0
29,Roma,30/11/2020,11.0,80.0,1018.0,0.0
0,Roma,1/12/2020,10.0,86.0,1014.0,0.0
1,Roma,2/12/2020,10.0,86.0,1007.0,0.0
2,Roma,3/12/2020,9.0,87.0,1005.0,0.0
3,Roma,4/12/2020,10.0,77.0,1003.0,0.0
4,Roma,5/12/2020,16.0,71.0,1001.0,0.0
5,Roma,6/12/2020,10.0,91.0,999.0,0.0
6,Roma,7/12/2020,11.0,75.0,1006.0,0.0
7,Roma,8/12/2020,12.0,87.0,1000.0,0.0
8,Roma,9/12/2020,10.0,85.0,1001.0,0.0
9,Roma,10/12/2020,9.0,80.0,1004.0,0.0
10,Roma,11/12/2020,9.0,83.0,1003.0,0.0
11,Roma,12/12/2020,8.0,80.0,999.0,0.0
12,Roma,13/12/2020,7.0,76.0,1006.0,0.0
13,Roma,14/12/2020,8.0,67.0,1015.0,0.0
14,Roma,15/12/2020,7.0,76.0,1019.0,0.0
15,Roma,16/12/2020,8.0,78.0,1022.0,0.0
16,Roma,17/12/2020,8.0,80.0,1025.0,0.0
17,Roma,18/12/2020,8.0,84.0,1026.0,0.0
18,Roma,19/12/2020,8.0,81.0,1025.0,0.0
19,Roma,20/12/2020,8.0,80.0,1023.0,0.0
20,Roma,21/12/2020,8.0,79.0,1025.0,0.0
21,Roma,22/12/2020,9.0,86.0,1026.0,0.0
22,Roma,23/12/2020,11.0,86.0,1026.0,0.0
23,Roma,24/12/2020,14.0,82.0,1019.0,0.0
24,Roma,25/12/2020,12.0,77.0,1012.0,0.0
25,Roma,26/12/2020,7.0,86.0,1009.0,0.0
26,Roma,27/12/2020,6.0,77.0,1007.0,0.0
27,Roma,28/12/2020,10.0,73.0,997.0,0.0
28,Roma,29/12/2020,11.0,72.0,1002.0,0.0
29,Roma,30/12/2020,9.0,80.0,1004.0,0.0
30,Roma,31/12/2020,7.0,82.0,1011.0,0.0
0,Roma,1/1/2021,9.0,77.0,1010.0,0.0
1,Roma,2/1/2021,10.0,79.0,1005.0,0.0
2,Roma,3/1/2021,7.0,86.0,1009.0,0.0
3,Roma,4/1/2021,7.0,82.0,1010.0,0.0
4,Roma,5/1/2021,8.0,82.0,1008.0,0.0
5,Roma,6/1/2021,8.0,70.0,1012.0,0.0
6,Roma,7/1/2021,5.0,80.0,1013.0,0.0
7,Roma,8/1/2021,6.0,84.0,1009.0,0.0
8,Roma,9/1/2021,6.0,86.0,1010.0,0.0
9,Roma,10/1/2021,7.0,88.0,1008.0,0.0
10,Roma,11/1/2021,5.0,82.0,1012.0,0.0
11,Roma,12/1/2021,5.0,83.0,1014.0,0.0
12,Roma,13/1/2021,5.0,78.0,1014.0,0.0
13,Roma,14/1/2021,,,,
14,Roma,15/1/2021,8.0,62.0,1010.0,0.0
15,Roma,16/1/2021,4.0,56.0,1016.0,0.0
16,Roma,17/1/2021,2.0,76.0,1015.0,0.0
17,Roma,18/1/2021,5.0,68.0,1021.0,0.0
18,Roma,19/1/2021,6.0,71.0,1026.0,0.0
19,Roma,20/1/2021,10.0,74.0,1023.0,0.0
20,Roma,21/1/2021,13.0,78.0,1017.0,0.0
21,Roma,22/1/2021,13.0,85.0,1009.0,0.0
22,Roma,23/1/2021,11.0,68.0,1002.0,0.0
23,Roma,24/1/2021,10.0,80.0,999.0,0.0
24,Roma,25/1/2021,9.0,76.0,1004.0,0.0
25,Roma,26/1/2021,6.0,62.0,1012.0,0.0
26,Roma,27/1/2021,4.0,66.0,1016.0,0.0
27,Roma,28/1/2021,6.0,61.0,1015.0,0.0
28,Roma,29/1/2021,11.0,81.0,1009.0,0.0
29,Roma,30/1/2021,12.0,72.0,1005.0,0.0
30,Roma,31/1/2021,12.0,81.0,995.0,0.0
0,Roma,1/2/2021,10.0,82.0,999.0,0.0
1,Roma,2/2/2021,11.0,80.0,1010.0,0.0
2,Roma,3/2/2021,12.0,79.0,1017.0,0.0
3,Roma,4/2/2021,13.0,79.0,1018.0,0.0
4,Roma,5/2/2021,13.0,75.0,1016.0,0.0
5,Roma,6/2/2021,15.0,57.0,1012.0,0.0
6,Roma,7/2/2021,15.0,67.0,1001.0,0.0
7,Roma,8/2/2021,11.0,78.0,1000.0,0.0
8,Roma,9/2/2021,13.0,79.0,1004.0,0.0
9,Roma,10/2/2021,13.0,84.0,1004.0,0.0
10,Roma,11/2/2021,10.0,81.0,1010.0,0.0
11,Roma,12/2/2021,10.0,77.0,1017.0,0.0
12,Roma,13/2/2021,6.0,72.0,1016.0,0.0
13,Roma,14/2/2021,2.0,41.0,1028.0,0.0
14,Roma,15/2/2021,4.0,44.0,1035.0,0.0
15,Roma,16/2/2021,5.0,59.0,1029.0,0.0
16,Roma,17/2/2021,9.0,72.0,1023.0,0.0
17,Roma,18/2/2021,10.0,71.0,1024.0,0.0
18,Roma,19/2/2021,9.0,73.0,1026.0,0.0
19,Roma,20/2/2021,12.0,70.0,1026.0,0.0
20,Roma,21/2/2021,10.0,75.0,1025.0,0.0
21,Roma,22/2/2021,11.0,78.0,1029.0,0.0
22,Roma,23/2/2021,11.0,82.0,1034.0,0.0
23,Roma,24/2/2021,12.0,79.0,1033.0,0.0
24,Roma,25/2/2021,12.0,76.0,1031.0,0.0
25,Roma,26/2/2021,11.0,84.0,1027.0,0.0
26,Roma,27/2/2021,10.0,85.0,1023.0,0.0
27,Roma,28/2/2021,11.0,71.0,1025.0,0.0
0,Roma,1/3/2021,10.0,70.0,1027.0,0.0
1,Roma,2/3/2021,10.0,69.0,1031.0,0.0
2,Roma,3/3/2021,11.0,67.0,1030.0,0.0
3,Roma,4/3/2021,10.0,71.0,1025.0,0.0
4,Roma,5/3/2021,11.0,72.0,1018.0,0.0
5,Roma,6/3/2021,12.0,83.0,1022.0,0.0
6,Roma,7/3/2021,10.0,85.0,1022.0,0.0
7,Roma,8/3/2021,10.0,88.0,1014.0,0.0
8,Roma,9/3/2021,10.0,90.0,1009.0,0.0
9,Roma,10/3/2021,10.0,63.0,1013.0,0.0
10,Roma,11/3/2021,9.0,61.0,1022.0,0.0
11,Roma,12/3/2021,13.0,74.0,1018.0,0.0
12,Roma,13/3/2021,14.0,74.0,1016.0,0.0
13,Roma,14/3/2021,12.0,68.0,1011.0,0.0
14,Roma,15/3/2021,9.0,61.0,1011.0,0.0
15,Roma,16/3/2021,8.0,63.0,1012.0,0.0
16,Roma,17/3/2021,7.0,60.0,1015.0,0.0
17,Roma,18/3/2021,8.0,59.0,1014.0,0.0
18,Roma,19/3/2021,7.0,61.0,1012.0,0.0
19,Roma,20/3/2021,9.0,51.0,1011.0,0.0
20,Roma,21/3/2021,9.0,44.0,1006.0,0.0
21,Roma,22/3/2021,8.0,43.0,1007.0,0.0
22,Roma,23/3/2021,8.0,36.0,1017.0,0.0
23,Roma,24/3/2021,9.0,51.0,1022.0,0.0
24,Roma,25/3/2021,10.0,72.0,1022.0,0.0
25,Roma,26/3/2021,12.0,73.0,1025.0,0.0
26,Roma,27/3/2021,13.0,74.0,1027.0,0.0
27,Roma,28/3/2021,13.0,73.0,1030.0,0.0
28,Roma,29/3/2021,13.0,69.0,1031.0,0.0
29,Roma,30/3/2021,15.0,61.0,1029.0,0.0
30,Roma,31/3/2021,15.0,57.0,1024.0,0.0
0,Roma,1/4/2021,15.0,77.0,1020.0,0.0
1,Roma,2/4/2021,14.0,82.0,1016.0,0.0
2,Roma,3/4/2021,14.0,71.0,1011.0,0.0
3,Roma,4/4/2021,14.0,64.0,1011.0,0.0
4,Roma,5/4/2021,12.0,62.0,1013.0,0.0
5,Roma,6/4/2021,12.0,72.0,1004.0,0.0
6,Roma,7/4/2021,8.0,51.0,1010.0,0.0
